source_unit,depends_on_unit
SYSOP2D,common3
SYSOP2D,common5
SYSOP2D,common4
SYSOP2D,common
SYSOP2E,Crt
SYSOP2E,Dos
SYSOP2E,common1
SYSOP2E,common2
SYSOP2E,common3
SYSOP2E,common5
SYSOP2E,common4
SYSOP2E,common
SYSOP2F,Crt
SYSOP2F,Dos
SYSOP2F,common1
SYSOP2F,common2
SYSOP2F,common3
SYSOP2F,common5
SYSOP2F,common4
SYSOP2F,common
SYSOP2G,Crt
SYSOP2G,Dos
SYSOP2G,common5
SYSOP2G,records
SYSOP2G,sysop3
SYSOP2G,common1
SYSOP2G,common2
SYSOP2G,common3
SYSOP2G,common4
SYSOP2G,common
SYSOP2H,Crt
SYSOP2H,Dos
SYSOP2H,common4
SYSOP2H,common5
SYSOP2H,common1
SYSOP2H,common
SYSOP2H,records
SYSOP2H,common3
SYSOP2H,cmd
SYSOP2H,common2
SYSOP2I,Crt
SYSOP2I,Dos
SYSOP2I,common1
SYSOP2I,common2
SYSOP2I,common3
SYSOP2I,records
SYSOP2I,common5
SYSOP2I,common4
SYSOP2I,common
SYSOP2J,Crt
SYSOP2J,Dos
SYSOP2J,common1
SYSOP2J,common2
SYSOP2J,common3
SYSOP2J,common4
SYSOP2J,common5
SYSOP2J,common
SYSOP2J,records
SYSOP2J,multinod
SYSOP2S,cmd
SYSOP2S,common
SYSOP2S,common2
SYSOP2S,common3
SYSOP2S,common5
SYSOP2S,crt
SYSOP2S,dos
SYSOP2S,output
SYSOP2S,records
SYSOP2S,strProc
SYSOP2S,strProc2
SYSOP2Z,Crt
SYSOP2Z,Dos
SYSOP2Z,common5
SYSOP2Z,cuser
SYSOP2Z,common4
SYSOP2Z,records
SYSOP2Z,common
SYSOP3,Crt
SYSOP3,Dos
SYSOP3,myio
SYSOP3,common1
SYSOP3,common2
SYSOP3,common3
SYSOP3,common5
SYSOP3,common
SYSOP3,records
SYSOP3,strproc
SYSOP3,nuv
SYSOP6,Crt
SYSOP6,Dos
SYSOP6,overlay
SYSOP6,common
SYSOP7,Crt
SYSOP7,Dos
SYSOP7,common5
SYSOP7,records
SYSOP7,common
SYSOP7,common1
SYSOP7,common2
SYSOP7,common3
SYSOP7,sysop7m
SYSOP7,file9
SYSOP7,menus2
SYSOP7,strproc
SYSOP7,file2
SYSOP7M,Crt
SYSOP7M,Dos
SYSOP7M,common5
SYSOP7M,common
SYSOP7M,common3
SYSOP7M,file9
SYSOP7M,records
SYSOP7M,menus2
SYSOP8,Crt
SYSOP8,Dos
SYSOP8,common4
SYSOP8,common5
SYSOP8,records
SYSOP8,common
SYSOP8,Conf
SYSOP8,common1
SYSOP8,common2
